# Dictionary generated from iliad.txt
# Words with counts >= 10 and < 100
# Total unique words matching: 2143
# Format: word	count

hide	24
lest	24
lifted	24
mankind	24
moving	24
parents	24
princes	24
public	24
quit	24
rein	24
seems	24
speak	24
steps	24
takes	24
terror	24
th	24
toss	24
tydeus	24
vigour	24
vow	24
winged	24
xanthus	24
argos	23
bathed	23
beat	23
better	23
burning	23
ceased	23
chase	23
crowd	23
desert	23
despair	23
did	23
dies	23
display	23
done	23
doubtful	23
falchion	23
frame	23
free	23
gate	23
graceful	23
grote	23
heavy	23
herald	23
impatient	23
justice	23
knew	23
laws	23
lifts	23
moment	23
mountains	23
myself	23
ordain	23
pace	23
partial	23
pile	23
pious	23
prayers	23
prone	23
pursued	23
safety	23
self	23
set	23
ship	23
sides	23
single	23
spring	23
sweat	23
tall	23
tents	23
use	23
vi	23
victim	23
victims	23
wave	23
weighty	23
wheels	23
whence	23
wish	23
yields	23
aim	22
also	22
angry	22
azure	22
being	22
beloved	22
bred	22
brought	22
bull	22
burst	22
certain	22
check	22
confused	22
contend	22
crew	22
dardan	22
distress	22
eager	22
enjoy	22
faithful	22
flash	22
flocks	22
flows	22
forbear	22
further	22
grateful	22
groans	22
heads	22
horror	22
labouring	22
leaders	22
lightning	22
lines	22
match	22
morning	22
obtain	22
pensive	22
priest	22
rank	22
savage	22
shun	22
sister	22
slave	22
smoking	22
states	22
streams	22
terrors	22
tried	22
triumphant	22
vows	22
warring	22
act	21
active	21
advice	21
aged	21
anger	21
breathed	21
clamours	21
court	21
deeps	21
ends	21
friendship	21
groaning	21
happy	21
hears	21
infant	21
midst	21
mounts	21
orb	21
parts	21
phœnix	21
pleasing	21
plunged	21
prostrate	21
rends	21
ring	21
sands	21
sceptre	21
scorn	21
sense	21
shaft	21
souls	21
thousand	21
thrown	21
times	21
valour	21
vanquish	21
warms	21
wealth	21
yonder	21
advance	20
aloud	20
antenor	20
antilochus	20
bleeds	20
bounding	20
bowl	20
breathe	20
children	20
comes	20
copyright	20
cretan	20
disgrace	20
ease	20
empty	20
fifty	20
food	20
former	20
glaucus	20
graced	20
grant	20
heralds	20
hermes	20
horrid	20
horses	20
javelins	20
lives	20
longer	20
makes	20
massy	20
nerves	20
number	20
orders	20
ours	20
oxen	20
parent	20
pray	20
purpose	20
ready	20
retired	20
retires	20
roars	20
rocks	20
sign	20
steep	20
stopp	20
suppliant	20
surround	20
thoughts	20
tongue	20
utmost	20
victorious	20
vulgar	20
waste	20
wield	20
am	19
assembled	19
bade	19
brow	19
cover	19
dauntless	19
deiphobus	19
demand	19
desire	19
direct	19
divides	19
draw	19
dropp	19
embattled	19
enormous	19
extends	19
fated	19
feeble	19
few	19
fresh	19
grim	19
heaved	19
hill	19
immortals	19
inspires	19
lash	19
leap	19
morn	19
mules	19
piercing	19
pylian	19
reeking	19
rings	19
seats	19
seven	19
several	19
shalt	19
snowy	19
spouse	19
stain	19
store	19
swells	19
threats	19
tired	19
trembled	19
tyrant	19
unwilling	19
views	19
waits	19
witness	19
youths	19
agreement	18
ascend	18
asius	18
battles	18
blows	18
brings	18
closed	18
cursed	18
defence	18
described	18
dome	18
dusty	18
else	18
engaged	18
express	18
fainting	18
firm	18
fits	18
frantic	18
glad	18
green	18
holy	18
inspire	18
ire	18
itself	18
knows	18
little	18
oppose	18
opposed	18
pursues	18
returns	18
reward	18
rival	18
sail	18
sand	18
shape	18
shower	18
signal	18
sink	18
smoke	18
speech	18
starry	18
subject	18
succeed	18
succour	18
themselves	18
torrent	18
twenty	18
woods	18
worth	18
alike	17
approaching	17
argive	17
asks	17
assist	17
attends	17
avenging	17
billows	17
bones	17
bounds	17
breathing	17
calm	17
cannot	17
chosen	17
circling	17
content	17
date	17
daughters	17
directs	17
en	17
enter	17
forests	17
fortune	17
gathering	17
glows	17
grave	17
hail	17
hard	17
hardy	17
horrors	17
incessant	17
iv	17
license	17
lift	17
listening	17
lot	17
machaon	17
mean	17
oïleus	17
palace	17
passion	17
poem	17
prepares	17
prevent	17
profound	17
promise	17
raged	17
relics	17
resistless	17
restrain	17
rises	17
rung	17
shepherd	17
source	17
spacious	17
steed	17
stop	17
strand	17
success	17
swiftness	17
task	17
taught	17
trees	17
twice	17
unknown	17
unmoved	17
weeping	17
whate	17
worthy	17
action	16
acts	16
agree	16
answer	16
apart	16
arose	16
atreus	16
automedon	16
beats	16
belt	16
bird	16
boy	16
breathes	16
chain	16
chance	16
compare	16
conceal	16
consort	16
courser	16
crest	16
cut	16
de	16
decreed	16
detain	16
easy	16
fat	16
forceful	16
foreign	16
ghost	16
glitter	16
incensed	16
inspired	16
insulting	16
joyful	16
leaves	16
liquid	16
lived	16
maintain	16
meets	16
nigh	16
observed	16
rash	16
reason	16
reply	16
resounding	16
restored	16
sighs	16
simois	16
soil	16
spirits	16
telamon	16
third	16
throat	16
towering	16
treasures	16
unite	16
verge	16
wage	16
whirl	16
wives	16
woman	16
wondering	16
yoke	16
aids	15
almost	15
aloft	15
altars	15
ambrosial	15
ashes	15
averse	15
avert	15
boar	15
boundless	15
briseïs	15
careful	15
centre	15
charged	15
claims	15
colour	15
contain	15
corslet	15
cry	15
curling	15
delight	15
different	15
dismay	15
dismiss	15
donations	15
dream	15
drive	15
dusky	15
ears	15
example	15
expect	15
fane	15
forms	15
genial	15
grew	15
helpless	15
infants	15
invades	15
joins	15
kept	15
law	15
mad	15
matrons	15
naked	15
nod	15
occasion	15
offer	15
parting	15
peaceful	15
perform	15
pomp	15
prepared	15
price	15
promised	15
provoke	15
pure	15
ranged	15
repair	15
reveal	15
rough	15
sandy	15
saturnia	15
seeks	15
shock	15
sigh	15
singly	15
sq	15
sqq	15
stones	15
succeeds	15
swear	15
sweet	15
tides	15
together	15
told	15
unseen	15
venerable	15
very	15
vultures	15
wash	15
whether	15
whirlwind	15
winding	15
wondrous	15
add	14
ages	14
alarm	14
aside	14
assistance	14
aught	14
banks	14
base	14
bespoke	14
blame	14
blind	14
bodies	14
breaks	14
broken	14
bulwarks	14
canst	14
character	14
coleridge	14
conduct	14
constant	14
corpse	14
crowds	14
deadly	14
embodied	14
expire	14
fallen	14
feels	14
fights	14
flung	14
gasping	14
goblet	14
greater	14
hangs	14
hasty	14
heir	14
help	14
hides	14
hissing	14
important	14
l	14
lycaon	14
majestic	14
melancholy	14
nature	14
nodding	14
owe	14
person	14
poet	14
presence	14
prudent	14
ray	14
